Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
100,1.4190494,0.00029950505,-0.032061964,0.21875,0.21875,21.0,0.2339054,0.26023996
200,1.4199677,0.000298505,0.15730639,0.3333333333333333,0.3333333333333333,18.5,0.09376774,0.2311663
300,1.4190531,0.00029750503,0.23306473,0.25,0.25,22.72222222222222,0.08624786,0.23959185
400,1.4205872,0.000296505,0.26246986,0.3191489361702128,0.3191489361702128,17.595744680851062,0.07785785,0.24182694
500,1.4233853,0.00029550501,0.46203777,0.36363636363636365,0.36363636363636365,15.363636363636363,0.10453879,0.23665638
600,1.4232154,0.00029450504,0.38219163,0.4745762711864407,0.4745762711864407,13.372881355932204,0.13108923,0.23514538
700,1.422028,0.00029350503,0.39394334,0.46551724137931033,0.46551724137931033,12.655172413793103,0.07157542,0.23520592
800,1.4172798,0.00029250502,0.39712942,0.509090909090909,0.509090909090909,13.090909090909092,0.07958132,0.24889259
900,1.4180388,0.000291505,0.44987562,0.45,0.45,12.75,0.09022783,0.22920574
1000,1.4183545,0.000290505,0.5418737,0.5967741935483871,0.5967741935483871,11.725806451612904,0.073359214,0.2273614
1100,1.4188809,0.000289505,0.5521179,0.5571428571428572,0.5571428571428572,10.5,0.062043186,0.24357711
1200,1.4162531,0.00028850502,0.54937994,0.6190476190476191,0.6190476190476191,10.920634920634921,0.064655304,0.25068307
1300,1.4146022,0.000287505,0.65367633,0.71875,0.71875,11.96875,0.059113264,0.24288003
1400,1.412195,0.000286505,0.6393963,0.6666666666666666,0.6666666666666666,11.34920634920635,0.058240037,0.22101165
1500,1.4116167,0.00028550503,0.77468055,0.8387096774193549,0.8387096774193549,11.0,0.03671285,0.23905057
1600,1.4096713,0.00028450502,0.7801291,0.8214285714285714,0.8214285714285714,13.160714285714286,0.039705332,0.26547208
1700,1.4083267,0.000283505,0.82900506,0.8596491228070176,0.8596491228070176,13.701754385964913,0.030659698,0.23774993
1800,1.4084766,0.000282505,0.89214987,0.9859154929577465,0.9859154929577465,10.169014084507042,0.018764844,0.269157
1900,1.4102441,0.000281505,0.9050828,0.9178082191780822,0.9178082191780822,10.287671232876713,0.02036054,0.24293134
2000,1.4094745,0.00028050502,0.9213199,0.9852941176470589,0.9852941176470589,10.691176470588236,0.00785269,0.23967882
2100,1.4118555,0.000279505,0.90335065,0.8846153846153846,0.8846153846153846,9.14102564102564,0.031105911,0.2244953
2200,1.4122794,0.000278505,0.8798511,0.926829268292683,0.926829268292683,8.414634146341463,0.03425288,0.21902418
2300,1.4127562,0.00027750502,0.9038943,0.958904109589041,0.958904109589041,9.178082191780822,0.025732333,0.228031
2400,1.4134476,0.00027650502,0.9611978,1.0,1.0,11.235294117647058,0.003783253,0.22906655
2500,1.4128294,0.000275505,0.9242536,0.9705882352941176,0.9705882352941176,10.367647058823529,0.017630665,0.24240513
2600,1.4106894,0.00027450503,0.92476267,0.974025974025974,0.974025974025974,8.922077922077921,0.02144895,0.23901682
2700,1.409177,0.00027350502,0.93396646,1.0,1.0,9.644736842105264,0.003358978,0.24060869
2800,1.4082904,0.000272505,0.95774543,1.0,1.0,9.558441558441558,0.0028989224,0.22716245
2900,1.4071041,0.000271505,0.9628034,1.0,1.0,7.4526315789473685,0.0015072349,0.24894115
3000,1.4064679,0.00027050506,0.9646578,1.0,1.0,7.344086021505376,0.0015561423,0.26124007
3100,1.4043181,0.00026950502,0.9637802,1.0,1.0,6.95,0.001723206,0.20786664
3200,1.4020729,0.00026850504,0.9597168,0.9902912621359223,0.9902912621359223,6.650485436893204,0.005275001,0.24198224
3300,1.3996586,0.000267505,0.9738151,0.9902912621359223,0.9902912621359223,6.796116504854369,0.0067187496,0.2629523
3400,1.3987896,0.00026650503,0.9624764,0.9789473684210527,0.9789473684210527,7.168421052631579,0.010770876,0.21890742
3500,1.3997855,0.00026550505,0.94521296,0.9622641509433962,0.9622641509433962,6.584905660377358,0.019407352,0.23414172
3600,1.3967007,0.000264505,0.9535181,0.979381443298969,0.979381443298969,6.804123711340206,0.017466122,0.25191316
3700,1.3947983,0.00026350503,0.97554535,0.9902912621359223,0.9902912621359223,6.757281553398058,0.0054525533,0.24150087
3800,1.3935306,0.00026250503,0.9675592,1.0,1.0,6.605769230769231,0.0010884835,0.23770322
3900,1.3919522,0.00026150502,0.96882784,1.0,1.0,6.035398230088496,0.00096478034,0.2260642
4000,1.3891605,0.00026050504,0.9670816,0.9902912621359223,0.9902912621359223,6.398058252427185,0.007573364,0.2403181
4100,1.3860835,0.000259505,0.9430071,0.9905660377358491,0.9905660377358491,6.471698113207547,0.008555572,0.21442124
4200,1.3824952,0.000258505,0.969681,1.0,1.0,5.75,0.0013290112,0.2527082
4300,1.3808312,0.00025750502,0.9695003,1.0,1.0,5.6902654867256635,0.0012306358,0.24961998
4400,1.3820419,0.000256505,0.9805567,1.0,1.0,5.8474576271186445,0.00080426986,0.22248401
4500,1.3820249,0.00025550503,0.9550765,0.9918032786885246,0.9918032786885246,5.524590163934426,0.012493838,0.23423134
4600,1.3828015,0.00025450502,0.9772098,0.9830508474576272,0.9830508474576272,5.661016949152542,0.006827976,0.22857727
4700,1.3846091,0.00025350502,0.95224327,0.990909090909091,0.990909090909091,6.127272727272727,0.010472431,0.24562904
4800,1.3836404,0.000252505,0.9423841,0.9646017699115044,0.9646017699115044,5.929203539823009,0.016705582,0.23247957
4900,1.3851978,0.00025150503,0.92880476,0.9666666666666667,0.9666666666666667,5.608333333333333,0.023855716,0.2576445
5000,1.3861868,0.00025050502,0.9749187,1.0,1.0,5.743589743589744,0.0019639963,0.2371983
5100,1.3848921,0.000249505,0.97862566,1.0,1.0,5.3884297520661155,0.0006804889,0.25604644
5200,1.3842152,0.000248505,0.978841,1.0,1.0,5.540983606557377,0.0004666786,0.26506194
5300,1.3831298,0.00024750506,0.97927547,1.0,1.0,5.463414634146342,0.00074318453,0.25129882
5400,1.3827004,0.00024650502,0.97729933,1.0,1.0,5.233870967741935,0.0006165597,0.24622802
5500,1.3824778,0.00024550504,0.97669643,1.0,1.0,5.443548387096774,0.0008016773,0.25175884
5600,1.3847733,0.00024450503,0.9790557,1.0,1.0,5.567796610169491,0.0004193654,0.2326771
5700,1.3848522,0.00024350504,0.9746045,1.0,1.0,4.977611940298507,0.0005930485,0.26004073
5800,1.3860767,0.00024250505,0.9715205,0.983739837398374,0.983739837398374,5.2926829268292686,0.01308376,0.24866319
5900,1.3845487,0.00024150504,0.9718318,0.9920634920634921,0.9920634920634921,5.349206349206349,0.00424064,0.25152698
6000,1.3849918,0.00024050503,0.9628577,0.984,0.984,5.256,0.0045037875,0.24359703
6100,1.384023,0.00023950505,0.9731593,0.9921259842519685,0.9921259842519685,5.173228346456693,0.0022210728,0.22664829
6200,1.3817843,0.00023850505,0.97625285,1.0,1.0,5.192,0.00067857496,0.24241316
6300,1.3785045,0.00023750507,0.9831725,0.9923076923076923,0.9923076923076923,5.076923076923077,0.0029866926,0.23752354
6400,1.3777757,0.00023650505,0.96838695,0.9920634920634921,0.9920634920634921,5.301587301587301,0.0017666921,0.22144069
6500,1.3808383,0.00023550502,0.9736618,0.9915966386554622,0.9915966386554622,5.4789915966386555,0.010974683,0.24898744
6600,1.3824834,0.00023450505,0.98257554,0.984251968503937,0.984251968503937,5.196850393700787,0.0049104895,0.24097674
6700,1.3821841,0.00023350504,0.97877294,1.0,1.0,5.380952380952381,0.00046473643,0.25921828
6800,1.3817115,0.00023250503,0.9795111,1.0,1.0,5.174603174603175,0.0004433584,0.25526202
6900,1.3792529,0.00023150505,0.97835696,1.0,1.0,5.21875,0.00038897005,0.23056151
7000,1.3768626,0.00023050504,0.97863275,1.0,1.0,5.40650406504065,0.00044226172,0.24095865
7100,1.3748361,0.00022950504,0.9756857,1.0,1.0,5.377049180327869,0.00047884168,0.24266624
7200,1.3716877,0.00022850506,0.97215897,0.9923664122137404,0.9923664122137404,4.99236641221374,0.0018959767,0.22645336
7300,1.3689561,0.00022750505,0.9746296,1.0,1.0,5.188976377952756,0.00035033099,0.21812962
7400,1.3692887,0.00022650504,0.9761273,0.9921875,0.9921875,5.1328125,0.0059398995,0.23437531
