Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
10000,1.4227293,0.000999,0.05478085,9.26401,0.009011752,80.1754320632009,80.17543229676198,281.0171568627451
20000,1.4263568,0.0009970001,1.9480095,6.339586,0.013440682,197.8491593313714,197.84915976770895,201.34201388888889
30000,1.4437767,0.0009950002,1.1653383,4.101551,0.011538649,158.18604798087034,158.1860481864564,239.59748427672955
40000,1.4744071,0.0009930002,1.1538084,3.4899697,0.008111973,227.80314253131905,227.80314299399342,350.8078078078078
50000,1.5211595,0.0009910002,0.27031735,4.566077,0.0033879373,52.28380265545387,52.28380240872502,967.2692307692307
60000,1.5296859,0.0009890001,1.3550087,4.3587694,0.0026489464,1860.7863084586227,1860.7863029767486,3499.6470588235293
70000,1.5855402,0.0009870002,1.7888112,2.695118,0.0007703457,2653.732724864483,2653.7327268657086,3916.44
80000,1.665624,0.0009850002,2.5416694,1.3419926,0.0022789193,5432.610096355279,5432.610100343513,5018.833333333333
90000,1.7349015,0.0009830002,2.2943919,1.1809621,0.00065235456,6943.938565498049,6943.9385677044365,5964.181818181818
100000,1.8151048,0.0009810001,1.7736309,1.1256354,0.002998623,6942.5823308080435,6942.582325502299,8092.125
110000,1.8889023,0.0009790001,1.5937872,2.110125,0.008789399,8121.825188016892,8121.825161993504,16063.2
120000,1.9529824,0.0009770001,1.3388628,2.1477258,0.0008080869,15398.122177267074,15398.122193348408,18962.6
130000,2.019743,0.0009750002,1.6704717,1.8784461,0.00016636355,12662.691156864166,12662.691099382937,25377.0
140000,2.0620828,0.00097300013,1.5682789,1.7138934,0.00019399298,22027.81549334526,22027.81561128795,24027.0
150000,2.11801,0.0009710001,2.4840572,1.1834116,0.00011607671,None,None,None
160000,2.1950207,0.00096900016,3.3986568,0.49529868,0.00012199178,None,None,None
170000,2.3317537,0.0009670001,3.752408,0.101439975,0.00011962792,None,None,None
180000,2.4756033,0.00096500013,3.813558,0.044950448,0.00024501557,74487.30915307999,74487.30910786986,72799.0
190000,2.6008863,0.0009630002,3.841118,0.011050313,0.00010755115,111609.43222606182,111609.43210293353,83933.0
