Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
10000,1.097821,9.9900055e-05,-0.11709908,0.18441848,99.36463434166379,0.14913951984554943,99.36463574444254,128.70833333333334,288.68488,0.12759985,0.15676588,1.0804199
20001,1.092783,9.970004e-05,0.34358346,0.10244614,137.16679790459182,0.186259473808796,137.16679748873176,125.32894736842105,276.94708,0.14213333,0.07228456,0.44722944
30000,1.0827395,9.9500045e-05,0.5120572,-0.14067504,149.32320086258213,0.13707133012017372,149.32320121275941,115.90243902439025,282.41998,0.14109007,0.0633071,0.098746896
40000,1.0870516,9.930005e-05,-0.051305667,-0.39946595,140.37009239816047,0.15503289115421667,140.37009116059,123.45454545454545,270.3275,0.13567695,0.049583517,0.08094419
50000,1.0805372,9.9100056e-05,-0.65505517,-0.50870615,132.3295840125486,0.12120592961766678,132.32958496119602,114.24096385542168,270.63693,0.14144489,0.047247212,0.09588243
60001,1.0556419,9.890005e-05,0.3389113,-0.9002008,149.1570905461544,0.09122246323954086,149.15709010275398,115.73170731707317,266.54166,0.1320021,0.03518916,0.0627597
70000,1.0316503,9.8700046e-05,1.3425812,-1.2194817,135.37331137770698,0.0785847792909148,135.37331178190098,112.58333333333333,252.05771,0.13918133,0.031427123,0.04583678
80000,0.9990412,9.850006e-05,1.0472965,-1.3459051,144.85803537368776,0.08755469185271067,144.8580350744538,117.875,250.53506,0.13861392,0.03339034,0.027166557
90000,0.95757335,9.830006e-05,1.7444546,-1.4657246,140.25961216186224,0.09772805845836717,140.25961235400877,124.86842105263158,247.10445,0.13351703,0.037983336,0.021143224
100001,0.88951623,9.810004e-05,1.3625897,-1.5056875,139.83313816302532,0.10930150684057358,139.8331396388444,128.17567567567568,252.59872,0.143595,0.03181743,0.018731935
