Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
10001,1.097776,9.998001e-05,1.3780705,54.254005,0.6685766,265.6823348328471,265.6823404626921,837.75
20002,1.0915686,9.994001e-05,2.4378285,46.802776,0.8348774,270.4587376767939,270.45873510634357,910.2727272727273
30002,1.090442,9.9900004e-05,4.252479,43.39454,0.74830824,231.54712550206617,231.547127392143,929.7272727272727
40001,1.0779984,9.986001e-05,3.5708134,44.197517,0.8188096,174.56158181599207,174.56158228324992,672.0714285714286
50001,1.0564665,9.982001e-05,4.934726,42.525764,0.83672655,183.84467343723074,183.84467246120468,601.6470588235294
60001,1.0725095,9.978001e-05,8.3717165,42.489178,0.7636576,219.63613241910934,219.63613409282905,659.0714285714286
70000,1.0670019,9.974001e-05,5.7056975,37.82291,0.8506001,192.4057239671548,192.4057244474689,689.4666666666667
80003,1.042174,9.970001e-05,5.317643,35.54409,0.79711646,149.8236495005457,149.82364911546833,504.6842105263158
90003,0.996363,9.966001e-05,7.4172034,34.085705,0.79515624,130.22227845873152,130.22228020394132,437.42857142857144
100003,0.9572581,9.962e-05,11.078593,34.72987,0.8536094,129.3104102715202,129.31041093429795,422.7826086956522
110003,0.9397587,9.958e-05,10.6258545,30.982811,0.83181477,126.59419025027233,126.59419035943954,423.69565217391306
120001,0.97953546,9.9540004e-05,14.577604,32.21317,0.8655384,133.85891292311928,133.85891545936465,429.8181818181818
130004,0.99701065,9.95e-05,14.551453,31.355686,0.8355896,143.99723123311998,143.99723168984056,450.15
140001,1.0163903,9.9460005e-05,12.657602,33.50578,0.8031974,178.18669643004736,178.18669741062655,536.5
150003,1.0101701,9.942e-05,8.016124,25.929316,0.82017314,138.42059659957886,138.42059600974122,520.1111111111111
160001,0.98806286,9.9380006e-05,4.9374037,29.351582,0.7488061,104.8563053984391,104.85630411772351,511.6842105263158
170004,0.9502491,9.9339995e-05,9.873995,34.822582,0.82826364,97.94869856607346,97.94869909045242,488.04761904761904
180001,0.87159544,9.93e-05,10.978126,32.826336,0.9882015,114.76367131868999,114.76367139142184,440.85714285714283
190002,0.80655754,9.926e-05,10.818041,24.667004,0.8661844,92.5025856435299,92.50258467160165,473.65
200001,0.8243578,9.922001e-05,9.798945,18.96922,0.8222683,90.3738524734974,90.3738518152386,480.25
210003,0.8510586,9.9180004e-05,10.426665,26.351845,0.9583085,106.9290271282196,106.9290258705616,456.25
220001,0.82012564,9.914e-05,9.701203,21.748562,0.84732914,86.96187824606895,86.96187680922449,490.1
230000,0.79161286,9.910001e-05,3.1153364,21.58228,0.75383854,51.838090683732716,51.838089377220186,602.0
240000,0.7910622,9.906001e-05,1.1456134,19.39158,0.79960763,58.50670004636049,58.50670176465064,679.375
250002,0.73503417,9.902001e-05,1.5333521,26.959309,0.74678636,123.53303781577519,123.53303710105163,633.5714285714286
260001,0.80345654,9.898001e-05,5.6215982,24.13522,0.74554145,157.81971027702093,157.8197121694684,631.25
270002,0.9163932,9.894001e-05,5.4919558,20.252003,0.7699803,106.80853237555577,106.80853354071195,683.4615384615385
280002,0.90880245,9.890001e-05,4.3180513,15.207031,0.80770165,122.1152015209198,122.11519994139671,688.4
290000,0.88042367,9.886001e-05,8.907843,21.98918,0.8601092,37.320225494248525,37.320228019463165,671.8571428571429
300004,0.865218,9.882001e-05,13.50341,57.046673,0.9447547,92.24361057030528,92.24361197885715,486.7368421052632
310002,0.9170627,9.878e-05,18.877357,57.541443,1.0195668,120.26024757112775,120.26024883169504,448.0
320002,0.9778241,9.8740005e-05,12.47825,36.66599,0.8627204,100.6589708129565,100.65897261268563,515.4444444444445
330003,1.018355,9.87e-05,0.95722514,34.864086,0.75482905,27.830014445564963,27.830014472657982,794.0909090909091
340000,1.0268271,9.866001e-05,4.706347,43.551094,0.6893674,124.17027062177658,124.17027066772182,887.75
350000,1.0391614,9.862001e-05,13.714487,42.22164,0.66880006,315.4264121443033,315.4264196328819,873.5
360003,1.0248489,9.858001e-05,10.725233,40.157883,0.66585267,331.5025010867552,331.5025011937727,989.6363636363636
370000,1.0006944,9.8540004e-05,20.179981,36.680183,0.64958084,373.57739636898043,373.57739283517003,925.8
380003,0.9532203,9.850001e-05,18.66713,36.926865,0.5358906,473.436160819605,473.43616061937064,1046.5
390003,0.92958283,9.8460005e-05,21.145672,33.838516,0.7365343,419.30573347210884,419.3057288657874,1231.375
400003,0.9076075,9.842e-05,22.416668,30.61568,0.60394424,462.6059649123086,462.6059652111596,1167.111111111111
410004,0.91181314,9.8380006e-05,21.484364,36.06509,0.8109612,253.56126850098372,253.56127090752125,1255.625
420001,0.93064034,9.834001e-05,29.667183,40.01082,0.74013937,261.3443327024579,261.3443304831162,1124.25
430001,0.92785764,9.8300006e-05,34.113716,31.481365,0.7462,285.6343038678169,285.6343085989356,1123.6666666666667
440004,0.92583555,9.826e-05,39.32911,36.153538,0.7491567,269.4686440527439,269.4686480592936,1155.0
450003,0.90438974,9.822e-05,27.132936,38.85211,0.6965915,235.6386778752009,235.63867478072643,1072.3333333333333
460001,0.9002218,9.8180004e-05,24.004217,28.008343,0.7745475,289.67900681495667,289.67900804430246,1254.5714285714287
470003,0.89256907,9.814001e-05,23.12162,22.657,0.7053615,279.5243285559118,279.5243287468329,1366.5
480004,0.8898173,9.8100005e-05,24.568521,20.029612,0.7742455,117.38793798287709,117.38794014851253,1293.8333333333333
490004,0.8721376,9.806e-05,30.371435,17.882748,0.7483378,224.4713728427887,224.47136652740565,1083.090909090909
500000,0.8589026,9.8020006e-05,33.261192,20.404297,0.6861504,213.55012218789622,213.5501250556924,902.8181818181819
510003,0.8432474,9.798e-05,32.6069,15.838187,0.73450637,183.17888893932104,183.1788867212832,930.7
520003,0.85186076,9.794001e-05,30.181625,14.724922,0.6719715,207.8946328827968,207.89463126086272,857.4615384615385
530002,0.8375236,9.79e-05,33.096855,11.819795,0.72648984,286.13033116691645,286.13032855176266,950.0
540003,0.83001566,9.786e-05,28.875498,16.82804,0.70575464,268.66440033099866,268.6644010435451,907.0909090909091
550001,0.82929456,9.782e-05,29.521118,13.718639,0.73118085,237.56096244129267,237.56096342612398,841.7272727272727
560000,0.82098573,9.778001e-05,23.680508,13.645567,0.6681119,258.6930830068886,258.6930844798684,976.6
570000,0.8117829,9.774001e-05,30.637241,9.529402,0.6635786,292.2699634868365,292.2699618098828,838.3846153846154
580001,0.80099875,9.7700016e-05,42.342937,10.797493,0.60617626,262.1632464473898,262.1632466214624,726.5454545454545
590000,0.79600894,9.766001e-05,36.3323,10.01131,0.6636192,311.99197809025645,311.99197821939987,801.5
600002,0.79321295,9.762001e-05,37.311867,11.858289,0.62056476,303.2102622836828,303.2102625699093,838.6666666666666
610003,0.8049961,9.758001e-05,40.251774,5.5285015,0.62616795,299.169416308403,299.16941623790905,784.2307692307693
620000,0.79904157,9.754001e-05,45.20743,5.0810547,0.59962416,352.15890202739024,352.1588965214112,819.2727272727273
630001,0.7838064,9.7500015e-05,44.143085,7.7794633,0.52159226,416.6636602222919,416.6636609740555,911.0
640003,0.78218436,9.7460004e-05,46.964718,6.696832,0.55552304,406.76880133748057,406.76880139932035,922.4
650004,0.7754902,9.742e-05,49.46185,16.94202,0.63185656,377.9315557073463,377.93155664679676,953.4545454545455
660003,0.74962616,9.738e-05,46.549545,24.572498,0.6914142,425.91521528788974,425.91521329432726,1085.7142857142858
670003,0.7508475,9.734e-05,52.74841,31.750717,0.72202027,398.64632803201675,398.6463268051545,1150.888888888889
680004,0.75972,9.73e-05,43.77938,24.892082,0.6801576,314.00979754924776,314.00979804173113,1193.2
690000,0.73303914,9.726e-05,41.518967,41.442455,0.7668223,186.28145610292754,186.28145843868455,1222.5
700003,0.73542625,9.722001e-05,41.81234,31.40417,0.8005301,119.37892034224102,119.37892037630081,1221.7142857142858
710002,0.7411731,9.7180004e-05,33.060925,52.830864,0.756543,82.577075931761,82.57707848813799,1356.888888888889
720002,0.72453195,9.714001e-05,30.103285,49.418957,0.74619013,-77.91467010974884,-77.91467301920056,1329.75
730000,0.7333229,9.710001e-05,30.308794,40.333492,0.7405598,5.339055776596069,5.339056075683662,1713.857142857143
740004,0.7387876,9.706001e-05,22.144934,41.92811,0.7812265,-41.3176050901413,-41.317604734003545,1798.8
750002,0.726322,9.7020005e-05,27.626097,47.80591,0.73911273,10.373170028130213,10.373170116916299,1113.4166666666667
760004,0.76136655,9.698e-05,23.144083,62.9591,0.72339696,19.284629530376858,19.284631124801106,621.8888888888889
770001,0.72355765,9.6940006e-05,43.934227,62.756386,0.78547305,42.57956335090456,42.57956427051907,677.7619047619048
780001,0.7501254,9.690001e-05,14.193911,52.80111,0.782462,68.23295438289642,68.23295301795005,574.6
790003,0.74415797,9.686e-05,13.165557,22.669498,0.7275728,-32.30754152536392,-32.307540422677995,1877.4
800003,0.7332176,9.6820004e-05,19.00366,27.07165,0.75659454,377.6504311084747,377.6504282489419,1933.4
810001,0.729191,9.678001e-05,19.621613,20.246489,0.72712445,505.4373275736968,505.43732121835154,1884.5
820000,0.7222453,9.674001e-05,27.417788,24.541,0.7160649,506.36678555011747,506.3667857825756,1926.8
830002,0.72977704,9.670001e-05,17.083605,28.576176,0.7479393,718.840748167038,718.8407520532608,1985.4
840001,0.729028,9.6660006e-05,27.470041,19.443357,0.7576664,411.5023390650749,411.5023421064019,1972.4
850004,0.73704106,9.662e-05,25.55203,13.302167,0.7018286,522.4844672679901,522.4844638690353,1834.8
860000,0.7409028,9.6580006e-05,26.371578,20.603268,0.72359484,622.1554981350898,622.1555006146431,1850.8
870004,0.74114573,9.654e-05,31.081505,19.841053,0.7714205,706.8862077713013,706.8862085998059,1903.8
880004,0.73768514,9.65e-05,32.567326,22.074415,0.7328046,854.8834618389607,854.8834617868066,2015.6
890002,0.7451653,9.6460004e-05,37.933678,19.434597,0.7163161,915.8058011740446,915.8057999849319,1989.4
900003,0.74325854,9.642e-05,38.51555,18.88942,0.72292453,838.7407665133476,838.740760524571,1962.8
910001,0.7405756,9.6380005e-05,41.855324,16.342304,0.71423537,883.3630297005177,883.3630239441991,2038.0
920004,0.73538953,9.634001e-05,39.113724,18.07242,0.7072339,891.1981912612915,891.198186826706,2070.4
930002,0.7301714,9.63e-05,46.461487,16.45889,0.68372023,934.9413434267044,934.9413334988058,2051.0
940003,0.7269945,9.626e-05,38.922054,35.24732,0.6729344,542.2800024648508,542.280001056691,1529.0
950003,0.74730945,9.622001e-05,52.44106,13.1396055,0.6974376,479.16950180381536,479.16949851065874,2039.25
960004,0.7452194,9.618e-05,45.741207,16.030584,0.6956679,760.8058245281378,760.8058237669369,1996.6666666666667
970004,0.7423786,9.614e-05,53.483593,25.488865,0.6362911,699.3813020084053,699.3813021499664,1977.5
980001,0.75710934,9.6100004e-05,49.29274,14.791934,0.7063015,903.0583722790083,903.0583800934255,2122.1666666666665
990002,0.7655712,9.606e-05,56.075577,14.824592,0.6397376,946.0173380374908,946.017338026315,2178.5
1000004,0.7350429,9.6020005e-05,50.975403,20.377018,0.6491317,672.7937303185463,672.7937263190746,1818.2
1010002,0.74096036,9.598e-05,52.91693,22.351545,0.61993617,717.9193636417389,717.9193639039993,2031.6
1020002,0.76026106,9.5940006e-05,55.43189,16.983892,0.58516693,836.1790139824152,836.179021390155,2010.25
1030004,0.7781551,9.59e-05,61.020916,15.231798,0.61928314,843.8035190403461,843.8035183176398,2067.8333333333335
1040004,0.74277884,9.586e-05,57.52921,20.62961,0.7051689,767.8856481555849,767.8856421932578,2088.25
1050000,0.7848852,9.582001e-05,60.469967,17.59853,0.64220697,573.917933511734,573.9179253518581,2093.8
1060003,0.7550644,9.578001e-05,57.892628,15.545671,0.67146856,693.5503428429365,693.5503460243344,2108.5
1070002,0.75542855,9.574001e-05,58.476067,16.485233,0.6686035,887.3556094417969,887.3556040798625,2078.3333333333335
1080000,0.7398568,9.570001e-05,60.030365,21.015102,0.6298505,723.4650659635663,723.4650660268962,2022.5
1090001,0.7697119,9.566001e-05,59.796204,13.203001,0.5236489,786.2837467839321,786.28374714156,1996.8333333333333
1100004,0.74813837,9.562001e-05,60.41573,14.730037,0.6010866,761.9163595214486,761.9163603875786,2055.5
1110000,0.7672986,9.5580006e-05,62.164124,16.305113,0.54589975,900.330036854744,900.3300336867571,2147.0
1120002,0.76867,9.554001e-05,63.549374,14.172564,0.6503959,628.693546820432,628.693546127528,2158.0
1130001,0.74615693,9.550001e-05,56.056072,14.322436,0.54572916,1024.733062557876,1024.733059886843,2260.75
1140000,0.7982351,9.546001e-05,72.44671,7.736274,0.58650327,891.1109519824386,891.110956557095,2240.75
1150004,0.76178336,9.542001e-05,67.583786,8.595688,0.5909649,1004.9468036144972,1004.946815924719,2203.25
1160001,0.8039622,9.538001e-05,67.24225,13.621212,0.5293708,991.4969240340093,991.4969261214137,2177.0
1170003,0.76658523,9.5340016e-05,68.491196,11.392443,0.5054351,835.1887969498833,835.1887861788273,2220.6666666666665
1180002,0.81610405,9.5300005e-05,68.900566,13.220714,0.49011636,940.3552624210715,940.3552544601262,1991.3333333333333
1190002,0.77888316,9.526001e-05,72.18482,10.82549,0.6150843,943.839338440448,943.83933769539,2223.75
1200002,0.78638905,9.5220006e-05,67.60251,9.925424,0.5990093,892.2796150793632,892.2796187003454,2212.8333333333335
1210002,0.7796669,9.518001e-05,73.04387,7.47135,0.59744835,902.1185396015644,902.1185303231081,2210.0
1220003,0.75105184,9.5140014e-05,65.101456,18.89181,0.5835728,663.4232884943485,663.4232867732644,2043.25
1230004,0.784291,9.5100004e-05,69.61561,15.372136,0.6026165,923.4106356024743,923.4106289312243,2248.4
1240004,0.7495553,9.506e-05,65.794014,10.070756,0.6166842,724.5916364938021,724.5916292052716,2240.0
