Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
10002,1.097019,9.998e-05,0.44993335,113.78926859696706,113.78926840225856,279.2,179.03151,0.86578965
20003,1.0909,9.994001e-05,0.80586547,125.3037761002779,125.30377578890572,373.125,146.40143,0.8472878
30003,1.0744239,9.9900004e-05,0.53137875,59.95959505353655,59.95959418373449,306.42857142857144,101.81867,0.7806212
40000,1.0649579,9.986001e-05,-0.13544978,66.82607058286666,66.82606865763664,246.525,92.46225,0.78901774
50000,1.0785943,9.982001e-05,-0.6670115,109.49616274237633,109.49616323614663,355.22727272727275,108.75332,0.799734
60000,1.0737891,9.978001e-05,-1.4343789,97.31934710552818,97.31934857642965,502.57894736842104,106.514114,0.7519737
70000,1.0728438,9.974001e-05,0.94240874,87.22016246210445,87.22016239538789,670.3636363636364,80.92902,0.7396394
80001,1.084203,9.970002e-05,5.792504,127.25961342453957,127.25960654206574,735.9375,115.52197,0.78267205
90003,1.0857581,9.966001e-05,5.722929,164.22550614256608,164.22550727877962,534.7894736842105,128.44598,0.79512155
100001,1.0821985,9.962e-05,3.5453854,63.0597757182338,63.05977399782701,512.2272727272727,132.73589,0.78376895
110003,1.0724078,9.958001e-05,4.7082653,62.06612320741018,62.06612105561154,372.0952380952381,143.84033,0.8060705
120002,1.0446569,9.9540004e-05,-0.6178609,110.8691264073054,110.8691267726322,650.1333333333333,89.793106,0.71337616
130000,1.0434575,9.95e-05,4.259637,93.39474658732829,93.39474957468717,450.2173913043478,104.053894,0.7685424
140004,1.0279424,9.9460005e-05,4.3113317,173.9386816819509,173.93867880292237,773.75,101.694244,0.7413775
150001,0.97881687,9.942e-05,10.169138,213.4989341298739,213.49892791422704,639.9166666666666,96.36187,0.78212893
160002,1.0017678,9.9380006e-05,11.296784,389.2603670358658,389.26036575064063,2034.25,59.13626,0.6538348
170001,1.0436058,9.934001e-05,14.513434,153.58038834730783,153.58039505283037,2061.3333333333335,75.85597,0.74930644
180003,1.0754465,9.930001e-05,16.738544,368.4677417079608,368.4677487052977,2169.5,99.73287,0.82281
190002,1.0463607,9.926e-05,10.965132,711.7999931971232,711.8000043506423,2089.6666666666665,85.24928,0.73314524
200003,1.0348138,9.922e-05,9.623169,265.6938234567642,265.69381139427423,2280.3333333333335,78.44936,0.7682444
210004,1.0410349,9.9180004e-05,16.01708,511.20414885878563,511.2041343897581,2161.5,60.417778,0.69173074
220002,1.0548713,9.914e-05,15.366098,151.18966695666313,151.18966661579907,2723.5,81.75948,0.7766899
230002,1.0431131,9.9100005e-05,16.04523,466.9856356680393,466.98563790880144,1753.5,70.20646,0.7482132
240002,1.0407298,9.906001e-05,16.442497,731.1734307333827,731.1734306719154,2420.0,100.39937,0.7525783
250003,1.011775,9.9020006e-05,19.75237,840.0792581240336,840.0792661656936,2419.3333333333335,75.51811,0.70530665
260000,1.0094327,9.898001e-05,13.655495,534.2697740793228,534.2697729244828,2507.3333333333335,75.97982,0.7482475
270001,0.97960407,9.8940014e-05,26.25031,829.1752096489072,829.1752009447664,2403.5,86.62661,0.7369617
280000,0.9545451,9.890002e-05,21.360615,797.333226943016,797.333229675889,2149.0,91.2284,0.7708341
290000,0.91436017,9.8860015e-05,18.531387,322.1444872170687,322.1444855524848,963.0833333333334,77.50363,0.74815834
300002,0.8726247,9.8820004e-05,26.65332,895.6034092307091,895.6034016720951,2518.0,75.783775,0.6941656
310002,0.89896894,9.878e-05,17.198605,908.3971831003824,908.3971698408326,2550.6666666666665,65.202866,0.6890322
320001,0.9345495,9.8740005e-05,13.317479,267.9211288144191,267.92112389268976,1526.25,55.379993,0.65415776
330004,0.8781675,9.87e-05,27.067715,584.1322807073593,584.1322900876403,1649.5,60.257805,0.6977813
340004,0.89656794,9.866e-05,25.047585,758.9511323173841,758.9511237666011,2603.0,48.450836,0.65152234
350002,0.8688937,9.8619996e-05,23.40118,769.880480927229,769.8804765477777,2641.0,62.5383,0.6923135
360002,0.8419234,9.858e-05,26.572773,670.1324830770493,670.1324879392981,2452.8,59.075615,0.67452425
370003,0.78411204,9.8540004e-05,29.465014,982.7861614525318,982.7861563526094,2567.25,63.658966,0.66621757
380002,0.7106994,9.850001e-05,28.784912,962.459016084671,962.45900734514,2437.0,43.152264,0.58983094
390004,0.6980925,9.8460005e-05,23.281631,597.2650653322538,597.2650636173785,2180.3333333333335,48.859505,0.6350182
400003,0.62926877,9.842e-05,28.462523,544.8726938466231,544.8726924695075,1859.0,44.07888,0.5878519
410002,0.6504249,9.8380006e-05,31.645403,568.4685563274792,568.468550713999,1753.0,56.970985,0.6823849
420003,0.6393117,9.834e-05,34.725693,667.1857007443905,667.1856944710016,1613.5,62.983837,0.6579375
430001,0.62906677,9.8300006e-05,26.127281,603.3169535228184,603.3169561645815,1811.5714285714287,61.403175,0.6517915
440000,0.6668296,9.826001e-05,40.458946,1144.0019236505032,1144.0019319904968,2534.75,80.80689,0.6461942
450004,0.62341464,9.822001e-05,37.81528,764.2706992030144,764.2706997618079,2691.0,49.051933,0.6312577
460004,0.593997,9.818e-05,37.097473,896.4240863323212,896.42408920452,2746.4,50.074677,0.6237963
470002,0.58958364,9.813999e-05,38.75592,700.4054833253225,700.4054775138696,2575.3333333333335,48.535133,0.58583206
480000,0.65799534,9.810001e-05,32.315704,925.432456711928,925.4324572247764,2669.8333333333335,77.19384,0.71071875
490002,0.62720287,9.806001e-05,44.445328,1000.7870211005211,1000.7870368311802,2740.0,59.954,0.6636512
500000,0.5973393,9.802001e-05,44.38027,939.0394192039967,939.039425060153,2538.5,70.27069,0.71185863
510001,0.6786436,9.798001e-05,34.68914,1076.8315467834473,1076.8315456941723,2729.4,92.77248,0.65856934
520004,0.6382896,9.794e-05,48.245033,1379.502921263377,1379.5029170562823,2581.6666666666665,88.331665,0.71425605
530002,0.64561546,9.79e-05,48.408257,1306.9658437017351,1306.9658309184015,2629.0,84.0156,0.669051
540002,0.67827123,9.786001e-05,37.679115,1264.3039322594802,1264.3039424096544,2876.3333333333335,97.02396,0.65248966
550003,0.63850003,9.7820004e-05,44.2036,1171.2705760598183,1171.2705757059157,2973.0,82.92537,0.60245883
560003,0.68109643,9.778e-05,34.128796,1226.5939907371999,1226.5939810723066,2949.8,113.05349,0.69172955
570002,0.6935145,9.7740005e-05,35.73333,1131.313925087452,1131.3139568157494,3174.5,71.36131,0.60857505
580002,0.7628794,9.77e-05,33.932877,1149.4871290922165,1149.4871453493834,3601.0,116.33415,0.6417927
590004,0.7394656,9.766e-05,40.296005,2142.022319396337,2142.0223172555366,4653.333333333333,117.17782,0.6448933
600003,0.6790527,9.7619995e-05,48.919468,1229.824784874916,1229.824782282114,2633.0,117.24972,0.7085516
610002,0.6940014,9.7580014e-05,52.46418,1163.9552760124207,1163.9553054496646,2280.0,117.305115,0.621204
620001,0.68018186,9.754001e-05,56.643692,6978.530564785004,6978.530534237623,8679.0,101.421646,0.62919253
630003,0.67111737,9.750001e-05,48.700924,3168.4775916934013,3168.4775927998126,5088.0,91.33382,0.6219293
640001,0.62601024,9.746001e-05,57.697296,2924.994835178057,2924.994821511209,4301.0,86.24035,0.6090962
650002,0.62941,9.742001e-05,60.43475,1070.6081902782123,1070.6081929629047,2326.6666666666665,82.50698,0.622505
660000,0.60339195,9.738001e-05,56.34712,2566.002762337526,2566.0027597025037,4066.3333333333335,56.68232,0.5532805
670001,0.6442052,9.734002e-05,71.932014,4887.116196870804,4887.116212084889,8761.0,73.854675,0.63639355
680002,0.6468858,9.730001e-05,74.443886,None,None,None,78.65455,0.605194
690004,0.642822,9.726001e-05,75.296585,6073.838351011276,6073.8383942991495,8014.0,69.93446,0.63470674
700001,0.60622257,9.722001e-05,76.91729,5448.342532555263,5448.342556513846,6901.0,70.400635,0.6758453
710001,0.6232529,9.718001e-05,72.90613,2333.934867605567,2333.9348810091615,4129.0,95.60966,0.68034244
720002,0.6067153,9.7140015e-05,67.3265,5630.636619746685,5630.63661415875,7367.0,69.57922,0.6177841
730000,0.6218152,9.710001e-05,77.14235,None,None,None,53.462574,0.6406304
740000,0.62772214,9.7060016e-05,79.72436,3761.333426594734,3761.3334371596575,8622.0,64.23818,0.67570806
750003,0.6384005,9.7020005e-05,82.476135,4609.819053530693,4609.819025707741,8558.666666666666,68.87506,0.6887563
760004,0.5589929,9.698e-05,74.07296,584.6970358490944,584.6970361769199,1837.5,59.59341,0.61338186
770001,0.5792205,9.6940006e-05,84.921425,None,None,None,45.017982,0.63724625
780003,0.57688755,9.690001e-05,84.39763,1087.394565820694,1087.3945731259882,2879.0,64.23933,0.6744623
790000,0.57068324,9.686001e-05,83.7265,5969.397672593594,5969.3976393938065,8707.5,63.36434,0.6730113
800001,0.5979744,9.682002e-05,88.13066,4340.2055741250515,4340.2055777050555,8600.5,68.36603,0.6557489
810001,0.55778617,9.6780015e-05,84.79779,5285.159767329693,5285.159713059664,8819.0,60.06301,0.6163708
820003,0.5627014,9.6740005e-05,88.425644,5483.837481558323,5483.8374698236585,8712.0,51.71026,0.63485235
830001,0.6012626,9.67e-05,93.95311,4490.378640413284,4490.378657758236,8745.0,65.98318,0.67896116
840002,0.53762966,9.6660006e-05,86.27716,6055.725629329681,6055.725575782359,8703.0,52.942738,0.550259
