Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
10001,1.0932192,9.998001e-05,0.72891366,100.21383406339066,100.21383482259645,102.02247191011236,531.7753,0.8759694
20001,1.0791973,9.994001e-05,1.3208771,87.58021893752249,87.58021940722277,100.87368421052632,488.10104,0.81079894
30003,1.0521947,9.9900004e-05,1.8352156,87.27133427168194,87.27133481714286,98.25263157894737,417.47635,0.7286219
40003,1.0266294,9.986e-05,2.5428855,89.7222214418299,89.72222180611946,103.29411764705883,377.66132,0.7371947
50003,1.0080787,9.982e-05,1.2197536,120.2161925808858,120.21619316784002,119.96610169491525,324.92276,0.74958366
60000,0.9765139,9.978001e-05,-1.6800431,96.48482442335649,96.48482302969153,132.8181818181818,303.4318,0.7427328
70001,1.0098326,9.9740006e-05,-2.1134849,137.94353711605072,137.9435372145474,142.32,292.75662,0.74356365
80000,1.0363096,9.970002e-05,-2.415186,139.0885497877995,139.0885498727051,146.64583333333334,259.1501,0.7263557
90000,0.9869593,9.9660014e-05,-1.8648964,161.57739585485214,161.57739444831626,182.0,261.95108,0.73377734
100003,0.90966755,9.962001e-05,1.1857755,202.78363450153455,202.7836330218895,208.86486486486487,275.29022,0.7263572
110000,0.8798134,9.9580015e-05,4.1807804,208.32584637233188,208.32584740008627,191.05714285714285,285.21735,0.73742497
120000,0.88025373,9.954001e-05,4.682293,240.13692757818433,240.13692944386491,261.9259259259259,258.74802,0.71744114
130003,0.8937201,9.9500015e-05,8.3021555,375.3776773095131,375.3776780482382,382.5,288.39398,0.7764739
140000,0.83609253,9.9460005e-05,10.406787,313.3020862152702,313.3020861297846,361.2631578947368,254.16377,0.74567497
150003,0.8593863,9.942e-05,12.4705,360.1912309726079,360.1912318737143,403.0,247.89673,0.72997206
160003,0.88301045,9.9380006e-05,12.655632,-1208.5081610878308,-1208.508157491684,2068.5,245.68619,0.71455956
170001,0.96637636,9.934e-05,23.296696,254.14834963480632,254.14834821174543,334.8333333333333,251.3879,0.62507904
180001,0.9307636,9.930001e-05,27.630642,316.3602269075134,316.36022782698274,427.6818181818182,225.49191,0.5710234
190002,0.9165684,9.926001e-05,30.852388,315.56647019982336,315.56647102832795,484.5,205.80025,0.6049213
200003,0.87072915,9.922e-05,27.093145,237.537467966909,237.53746678032306,419.4347826086956,205.0028,0.601211
210000,0.86322343,9.918001e-05,25.92253,166.86018188238143,166.86018124699592,385.52,208.4269,0.59545285
220002,0.8884309,9.914001e-05,31.181278,279.0488490104675,279.04884668439627,480.95,232.38765,0.61249596
230000,0.83369845,9.910001e-05,33.811436,300.8599976624052,300.8600000875692,410.125,262.52606,0.6166629
240001,0.82455456,9.906001e-05,33.01893,272.26879421234133,272.2687937068939,381.68,219.37483,0.5801948
250002,0.8678567,9.9020006e-05,32.32625,272.23415748596193,272.2341582456231,421.4,251.31831,0.59598106
260003,0.8280049,9.898e-05,38.093475,320.64801119565965,320.6480096967891,468.15,235.6635,0.62110955
270002,0.80776477,9.894e-05,36.430363,275.48866274681956,275.48866449939936,426.90909090909093,275.2902,0.60504115
280001,0.8028537,9.8900004e-05,35.16746,217.7188598314921,217.7188581159959,403.9583333333333,208.42099,0.56295663
290000,0.792088,9.886001e-05,36.472725,189.2633477449417,189.263349531639,338.1290322580645,267.36752,0.63717204
300000,0.77862823,9.882001e-05,41.455624,227.73608106871447,227.7360824017475,371.3333333333333,222.5577,0.55958205
310003,0.76001215,9.8780016e-05,37.893944,311.1814114025661,311.18140723059577,486.95238095238096,222.05505,0.5479686
320003,0.72546434,9.874e-05,41.568775,289.9764225916429,289.97642164067787,432.8636363636364,227.65703,0.5952881
330002,0.70608133,9.87e-05,41.633186,316.02345707714557,316.0234564017504,486.05,224.86833,0.55347264
340000,0.6614308,9.866001e-05,41.351845,220.81533042192459,220.81532885991038,496.55,195.53938,0.54558355
350001,0.6695652,9.862002e-05,43.88874,283.28375933387065,283.2837576510554,458.77272727272725,180.33307,0.559784
360002,0.67205405,9.858001e-05,46.70424,320.3825936886397,320.3825930685482,423.95454545454544,202.14694,0.58976305
370002,0.6503875,9.854001e-05,47.6739,283.8779753560112,283.87797734567096,453.9047619047619,238.82065,0.5627621
380001,0.66486084,9.850001e-05,50.612392,358.03336427211764,358.03336479067804,495.15,202.81303,0.5222392
390002,0.63070273,9.8460005e-05,54.75744,423.9031198903134,423.90312130513945,495.57894736842104,211.04529,0.56723183
400002,0.60366875,9.842001e-05,50.99327,272.23270815849304,272.23270894020794,402.64,219.09383,0.5410554
410002,0.58233184,9.8380006e-05,46.593445,260.75414771080017,260.7541478344798,377.16,226.54614,0.63546646
420002,0.62001175,9.834001e-05,55.539013,449.0754488706589,449.0754503019546,505.63157894736844,209.92285,0.5611102
430002,0.5987671,9.8300006e-05,55.007965,410.0631441615877,410.0631461775019,501.1904761904762,224.19022,0.5516264
440000,0.6158723,9.826001e-05,60.07579,523.4936439009274,523.4936397202752,527.3529411764706,191.02853,0.55877185
450000,0.6009575,9.8220014e-05,61.45908,463.53954144318897,463.5395413585421,527.1111111111111,180.7452,0.57429224
460004,0.58523405,9.8180004e-05,56.47224,329.19123545147124,329.19123361685445,510.14285714285717,178.98015,0.52057
470002,0.62035006,9.814001e-05,65.04598,418.73118201891583,418.7311833579507,527.5,197.66934,0.583706
480002,0.58610576,9.8100005e-05,62.209343,328.1934799269626,328.193477491407,530.3684210526316,162.20845,0.52610093
490003,0.51855475,9.806e-05,56.670273,207.56413639783858,207.56413554251193,322.6666666666667,219.51535,0.55629903
500002,0.504682,9.8020006e-05,48.722477,149.63485130481422,149.6348519148305,314.875,302.5003,0.5773912
510001,0.5716113,9.798001e-05,68.64396,483.855220079422,483.85522261308506,520.9375,184.88986,0.51480865
520003,0.5431921,9.794001e-05,63.57428,464.11755008446545,464.11754588390653,546.6842105263158,161.82225,0.4747116
530001,0.5471406,9.790001e-05,68.88225,390.11143361197577,390.11143583680195,539.8333333333334,139.1579,0.53252655
540003,0.5445957,9.786001e-05,70.85883,459.6334199860692,459.6334197629243,516.2,165.21292,0.55997926
550003,0.53242207,9.782e-05,70.79519,431.6396690607071,431.6396705771194,521.1764705882352,173.68805,0.52358997
560003,0.51985294,9.778001e-05,68.25717,369.7345105723331,369.7345114722848,519.7368421052631,155.99127,0.52918357
570002,0.50088936,9.7740005e-05,66.52733,326.20346521139146,326.2034633886069,477.95,198.34468,0.5239075
580000,0.5419915,9.7700016e-05,65.46941,321.1642146766186,321.1642155557871,530.25,141.64548,0.5244447
590002,0.5378792,9.766001e-05,71.22647,429.1460536227507,429.14605463164696,561.7647058823529,141.17638,0.5244638
600002,0.5824204,9.762001e-05,76.897995,555.8548750737134,555.8548754883163,561.2352941176471,125.230484,0.49278533
610001,0.5063713,9.7580014e-05,73.87879,440.10443515910043,440.1044350415468,539.8333333333334,125.18559,0.47750124
620001,0.48219198,9.754001e-05,74.01571,355.3769281818753,355.3769252722462,495.76190476190476,154.04941,0.4997561
630003,0.5094936,9.750001e-05,82.36965,468.43867188692093,468.4386692398952,526.4444444444445,137.30481,0.52761316
640003,0.54296875,9.7460004e-05,75.851875,412.0807573511487,412.08075893528405,464.14285714285717,171.48141,0.5467677
650000,0.51947194,9.7420016e-05,79.319626,473.68051787426595,473.68052063568643,501.89473684210526,166.01718,0.4835537
660002,0.5103825,9.738001e-05,79.6243,420.85412638528004,420.8541273767395,467.3333333333333,214.81465,0.60379535
670000,0.5551905,9.734001e-05,84.45985,490.7188065553966,490.71880873096615,519.8421052631579,155.35666,0.5277286
680003,0.5795823,9.7300006e-05,83.01671,531.1869151452008,531.1869164692129,553.4117647058823,148.90051,0.52765363
690002,0.57524544,9.726001e-05,91.84237,514.9625749190649,514.9625720108548,534.7777777777778,171.51178,0.53203315
700001,0.5234343,9.722001e-05,89.32243,515.5463438535992,515.5463436475318,530.7368421052631,158.99251,0.51509595
710000,0.52526534,9.718001e-05,89.07704,544.4296075503031,544.4296077473296,528.3333333333334,138.31042,0.5119361
720002,0.5372997,9.714001e-05,94.56339,522.0009014355509,522.0009006504949,519.5263157894736,196.25873,0.5702713
730001,0.61064315,9.7100004e-05,81.92231,410.92487914562224,410.92488034926356,436.05,213.29158,0.625878
740003,0.6239442,9.706001e-05,83.591736,498.1203206286711,498.1203178158578,481.2352941176471,207.02739,0.61927354
750000,0.6398674,9.702001e-05,75.34527,543.4179721847177,543.4179688440636,516.25,138.92949,0.5992824
760001,0.5873632,9.698002e-05,73.13838,445.2376869164015,445.23768260957377,466.4736842105263,195.16183,0.5745447
770001,0.6289496,9.694001e-05,74.37084,606.9708593209584,606.970855110387,532.5333333333333,140.15865,0.59949934
780003,0.6219554,9.690001e-05,76.59523,684.9114009141922,684.9113960782997,545.8125,145.9902,0.5854344
790003,0.61907774,9.686001e-05,78.30412,613.7053546123207,613.7053531478159,559.1875,166.71637,0.5541291
