Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
25130004,0.69312125,4.975004e-05,115.661194,8.541683,0.42751288,13652.203548431396,13652.203464329243,23479.0
25140004,0.7783624,4.9730046e-05,116.929214,0.05499333,0.3853162,None,None,None
25150004,0.7103477,4.9710045e-05,115.74505,0.10221724,0.61650074,None,None,None
25160005,0.69336903,4.9690047e-05,117.1977,0.008138068,0.64880073,None,None,None
25170007,0.6912685,4.967004e-05,116.856766,0.014768082,0.66842186,None,None,None
25180004,0.7885976,4.9650043e-05,117.98395,0.23165786,0.44423813,None,None,None
25190008,0.87636364,4.963004e-05,118.953995,0.05596267,0.5280476,None,None,None
25200008,0.85121435,4.961004e-05,118.91437,0.004254162,0.5236634,None,None,None
25210006,0.8247251,4.959004e-05,118.14541,0.15799834,0.4477322,None,None,None
25220005,0.635951,4.9570044e-05,119.339005,0.36986077,0.4499529,None,None,None
25230006,0.61878717,4.9550043e-05,119.54205,0.093124405,0.6040227,None,None,None
25240005,0.60416776,4.953004e-05,118.587364,0.003918338,0.2563072,None,None,None
25250007,0.6069316,4.9510043e-05,118.409035,0.006446979,0.40510187,None,None,None
25260007,0.62994653,4.9490038e-05,117.18591,0.10664811,0.50924605,None,None,None
25270005,0.66191554,4.9470043e-05,117.8155,0.038566437,0.5649865,None,None,None
25280008,0.6459942,4.9450042e-05,118.116615,0.047490776,0.52390957,None,None,None
25290005,0.64833915,4.943004e-05,118.32085,0.019013736,0.6051333,None,None,None
25300008,0.65281993,4.9410042e-05,118.72355,0.052579828,0.4771069,None,None,None
25310006,0.71047586,4.9390037e-05,119.55053,0.11559111,0.3107666,None,None,None
25320006,0.7184206,4.9370043e-05,119.34636,0.014962636,0.47250062,None,None,None
25330008,0.69820005,4.9350037e-05,119.27346,0.040486317,0.3128513,None,None,None
25340004,0.66785824,4.9330043e-05,117.7401,0.35592085,0.5267772,None,None,None
25350004,0.6714595,4.9310045e-05,119.54572,0.0967644,0.3483362,None,None,None
25360006,0.738146,4.9290044e-05,120.558365,0.07837538,0.4357768,None,None,None
25370006,0.771527,4.9270042e-05,119.86063,0.059904337,0.42095745,None,None,None
25380004,0.7346735,4.9250044e-05,118.04289,0.022607855,0.31542754,None,None,None
25390006,0.7753411,4.9230046e-05,118.04726,0.040662114,0.39249492,None,None,None
25400007,0.7328153,4.9210037e-05,118.57556,0.03503069,0.61656463,None,None,None
25410004,0.8911773,4.9190043e-05,117.82127,103.9191,0.5504842,47772.546663602196,47772.54673119386,79531.33333333333
25420006,0.95977366,4.917005e-05,117.32696,0.03543448,0.44329733,None,None,None
25430006,0.7489577,4.9150043e-05,118.08107,1.177294,0.35882035,None,None,None
25440006,0.6927081,4.913004e-05,119.23305,0.06812906,0.40186626,None,None,None
25450006,0.67804664,4.9110044e-05,119.78612,0.0053037843,0.511685,None,None,None
25460005,0.6710154,4.9090042e-05,119.03395,0.01482929,0.44527277,None,None,None
25470007,0.69385237,4.9070044e-05,118.87433,0.06544547,0.41148773,None,None,None
25480008,0.71326315,4.905004e-05,119.26521,0.006689205,0.40578434,None,None,None
25490007,0.69852453,4.903004e-05,119.19015,0.038505718,0.5155491,None,None,None
25500008,0.6527464,4.9010036e-05,118.289505,0.082874216,0.48188457,None,None,None
25510005,0.6520263,4.899004e-05,117.44912,0.038548816,0.58387196,None,None,None
25520006,0.6657079,4.8970047e-05,118.084984,0.050018746,0.76164615,None,None,None
25530005,0.65423375,4.895004e-05,117.88563,0.025842333,0.5510631,None,None,None
25540007,0.7947817,4.893004e-05,115.045616,35.66675,0.49496093,47702.708203315735,47702.70823484659,79650.0
