Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
10000,1.4205319,0.0009995,0.81917447,9.589421,0.012495748,140.193761287546,140.19376067579924,236.5742574257426
20000,1.4101435,0.0009985,0.9767771,4.719336,0.014948582,158.95670235654367,158.95670217245507,187.53976531942632
30000,1.4188203,0.0009975,0.31061035,5.217381,0.009778736,306.440110960392,306.4401126473841,1315.171717171717
40000,1.4362661,0.0009965001,1.6824117,3.0172193,0.006109237,2019.038895696964,2019.0388946484002,2669.5849056603774
50000,1.4166927,0.0009955001,2.579983,1.0998486,0.007552263,3868.527455134212,3868.5274550200634,2853.811320754717
60000,1.4128871,0.0009945001,3.0502555,0.42719004,0.0048391735,4588.335838533365,4588.335838477486,2917.326923076923
70000,1.4006804,0.0009935,3.1800315,0.31639072,0.0064877467,4828.808425419033,4828.808425244565,2976.75
80000,1.3729141,0.0009925,3.3546503,0.29251269,0.0055211326,4834.384130376689,4834.384132205175,2783.396226415094
90000,1.312698,0.0009915001,3.259167,0.18700375,0.0059129596,4391.791738483413,4391.791738503581,2592.9827586206898
100000,1.26631,0.0009905002,3.12127,0.20782098,0.008706274,3824.6783440392464,3824.678344258922,2357.46875
110000,1.2038051,0.0009895001,3.222927,0.13896327,0.0076267957,3279.129362731785,3279.129364539857,1950.5974025974026
120000,1.1676619,0.0009885001,3.3361766,0.1478904,0.0077053993,3047.737934566406,3047.73793271166,1754.7831325301204
130000,1.159732,0.0009875001,3.3413632,0.15801962,0.008236799,3022.2829422091327,3022.282941615166,1728.4186046511627
140000,1.130942,0.0009865001,3.3527675,0.13355657,0.0069607403,2940.2612799270587,2940.2612811198287,1682.2954545454545
150000,1.0857614,0.0009855002,3.2020137,0.14505853,0.0066799223,2728.2924030871873,2728.2924032824094,1628.7865168539327
160000,1.0428455,0.0009845002,3.28339,0.15681858,0.0072076367,2621.2514787629707,2621.2514763530535,1530.958762886598
170000,0.9981331,0.0009835002,3.2914047,0.14684357,0.0090200305,2492.4558443555643,2492.455844395812,1448.813725490196
180000,0.9703213,0.0009825,3.124375,0.14441663,0.007494269,2378.604107151911,2378.6041088184543,1452.4466019417475
190000,0.9362905,0.0009815,3.04039,0.14004219,0.008629157,2274.096800413269,2274.0967991237458,1420.4134615384614
200000,0.8867509,0.0009805,3.0837576,0.12738277,0.0068392386,2209.819327933766,2209.8193311237983,1366.4766355140187
210000,0.85211056,0.0009795001,3.0713093,0.13614967,0.008665695,2131.921033597418,2131.921039207772,1317.5892857142858
220000,0.82795227,0.0009785001,3.0633512,0.13900459,0.010119904,2103.237270209873,2103.2372709479378,1296.780701754386
230000,0.8061858,0.0009775001,3.1677372,0.301329,0.008023636,2076.4881141458527,2076.488113323195,1251.542372881356
240000,0.7739467,0.00097650004,3.3332632,0.1583957,0.008129963,2088.9133684908757,2088.91336728834,1203.3934426229507
250000,0.75120676,0.0009755001,3.20314,0.16213688,0.008999627,2033.5600992841798,2033.560098463639,1212.2295081967213
260000,0.74219364,0.0009745001,2.9356756,0.102179356,0.007769515,1964.2952703730814,1964.295269793606,1263.9396551724137
