Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.4165357,0.00029700302,-0.27615526,0.18964435,0.26489335,2.749997854232788,2.749997854232788,341.0
2000,1.4149235,0.00029100303,0.13820384,0.08710901,0.2431393,1.5533321301142375,1.5533321301142375,363.0
3000,1.4167113,0.000285003,0.26404774,0.008697632,0.25438046,0.0,0.0,340.0
4000,1.4164071,0.00027900303,0.043128666,0.0006900181,0.24547334,0.0,0.0,345.0
5000,1.4124746,0.00027300304,0.17234379,0.020100083,0.2403042,1.3349989652633667,1.3349989652633667,393.0
6000,1.4141189,0.00026700302,0.69572073,0.040096138,0.25362363,1.7799986203511555,1.7799986203511555,375.0
7000,1.4132422,0.000261003,0.7531343,0.07194874,0.2432624,0.0,0.0,492.0
8000,1.4166764,0.00025500305,0.6571835,0.02892197,0.24924745,0.0,0.0,415.5
9000,1.4187165,0.00024900303,0.2992621,0.0014304428,0.23991969,0.0,0.0,312.6666666666667
10000,1.4178689,0.00024300304,0.10653329,0.0006909648,0.25281322,0.0,0.0,307.0
11000,1.4206554,0.00023700304,0.040630423,0.00054430217,0.2367849,0.0,0.0,306.6666666666667
12000,1.4205694,0.00023100304,0.008788853,0.00011949845,0.2571812,0.0,0.0,323.0
13000,1.4225764,0.00022500305,-0.020993996,0.00034346257,0.25054073,0.0,0.0,318.0
14000,1.4237343,0.00021900305,-0.009872208,0.00015441947,0.24427791,0.0,0.0,301.3333333333333
15000,1.4217486,0.00021300303,-0.015907098,0.00019275879,0.2497535,0.0,0.0,318.0
16000,1.4225377,0.00020700306,0.015402906,6.532965e-05,0.25021923,0.0,0.0,317.3333333333333
17000,1.4192353,0.00020100304,-0.011838443,0.00067049195,0.242376,0.0,0.0,323.6666666666667
18000,1.4178683,0.00019500304,-0.041754067,0.00021047871,0.25002006,0.0,0.0,290.0
19000,1.4186448,0.00018900307,-0.008639813,6.6793495e-05,0.26270646,0.0,0.0,279.0
20000,1.4192891,0.00018300307,0.018656868,7.919939e-05,0.2358637,0.0,0.0,307.0
21000,1.4181527,0.00017700305,-0.0259738,0.00713867,0.24373715,0.0,0.0,460.0
22000,1.4173186,0.00017100308,0.0786668,0.09068376,0.24728858,1.6699987252553303,1.6699987252553303,377.0
23000,1.4185964,0.00016500306,0.24394087,0.0046201074,0.25235802,0.9149993062019348,0.9149993062019348,416.5
24000,1.4217681,0.00015900306,0.3621457,0.032088235,0.24339117,1.6666653553644817,1.6666653553644817,344.6666666666667
25000,1.4199265,0.00015300307,0.8169153,0.057045847,0.23795894,1.1066657702128093,1.1066657702128093,335.0
26000,1.4219686,0.00014700307,0.491342,0.0056841667,0.25134802,0.0,0.0,334.3333333333333
27000,1.4228196,0.00014100307,0.43710333,0.0024123075,0.24823424,0.0,0.0,353.5
28000,1.4217728,0.00013500307,0.1677621,0.0013375093,0.2289612,0.0,0.0,372.3333333333333
29000,1.4187956,0.00012900308,0.29486248,0.053439658,0.25119948,1.8899985154469807,1.8899985154469807,354.3333333333333
30000,1.4176304,0.00012300308,0.2452155,0.0008335464,0.25666136,0.0,0.0,412.5
31000,1.4171482,0.000117003074,0.05047697,0.0003406855,0.2230047,0.0,0.0,329.0
32000,1.4178847,0.00011100308,0.034524657,0.00017249933,0.2638643,0.0,0.0,356.0
33000,1.4198883,0.000105003084,0.020302081,0.00024205222,0.24519247,0.0,0.0,353.5
34000,1.4207902,9.9003075e-05,0.10224129,0.0006067329,0.24212225,0.0,0.0,451.5
35000,1.4205029,9.300308e-05,-0.04079929,0.057881765,0.24805012,0.8333326975504557,0.8333326975504557,410.3333333333333
36000,1.4179866,8.700309e-05,0.04096627,0.047743164,0.2392886,2.3299982150395713,2.3299982150395713,342.6666666666667
37000,1.4171993,8.100308e-05,0.39049557,0.04396658,0.2390213,2.499998092651367,2.499998092651367,348.0
38000,1.4165668,7.500309e-05,0.6306534,0.007468898,0.2488292,2.5566647052764893,2.5566647052764893,347.3333333333333
39000,1.4164909,6.9003094e-05,0.9748892,0.08131212,0.25578114,1.7766652901967366,1.7766652901967366,400.6666666666667
40000,1.4151796,6.300309e-05,0.677021,0.0142273335,0.26013547,1.8349986672401428,1.8349986672401428,348.5
41000,1.4145259,5.700309e-05,0.616612,0.018443871,0.25028035,1.0849992036819458,1.0849992036819458,431.5
42000,1.4142,5.100309e-05,0.27015895,0.011537489,0.24228008,0.0,0.0,458.0
43000,1.4142073,4.5003093e-05,0.0635604,0.0025593732,0.23532006,0.0,0.0,476.0
44000,1.4143579,3.90031e-05,-0.021537008,0.0010286896,0.25592777,0.0,0.0,451.5
45000,1.413548,3.30031e-05,0.08503141,0.0017784259,0.22994997,0.0,0.0,459.5
46000,1.4135212,2.7003098e-05,0.014038676,0.00094788626,0.23774894,0.0,0.0,443.0
47000,1.4140832,2.1003103e-05,0.08024192,0.0031722381,0.2680009,0.0,0.0,467.5
48000,1.4140604,1.5003103e-05,0.010594799,0.00029968433,0.22610277,0.0,0.0,467.5
49000,1.4140157,9.003104e-06,-0.015156346,0.00014632473,0.24988526,0.0,0.0,492.0
50000,1.4141245,3.003107e-06,-0.01776499,0.00048635242,0.2329581,0.0,0.0,467.5
