Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Policy/Extrinsic Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate
1000,1.4160434,0.00029940062,0.3439288,0.41309893,95.66666666666667,2.2600590847432613,95.66666666666667,72.0,185.92142,0.25675473,3.5033123,0.292387,0.7057007
2000,1.4158493,0.0002982006,-0.44925243,0.52887595,122.5,3.099478716030717,122.5,81.16666666666667,312.87552,0.2272912,1.0347975,0.29969585,0.7190106
3000,1.4156287,0.00029700057,0.029851539,0.9652897,111.57142857142857,2.7122482169153437,111.57142857142857,66.0,277.36996,0.2419995,0.9967976,0.31597117,0.69442886
4000,1.4155879,0.00029580062,-1.139278,0.892105,129.5,2.429418490401336,129.5,67.78571428571429,376.95236,0.23303276,0.9131321,0.28584087,0.709522
5000,1.409114,0.0002946006,1.672797,1.4127318,122.0,1.664428141187219,122.0,55.94117647058823,334.56818,0.22672457,0.7902901,0.24873911,0.7251682
6000,1.409031,0.0002934006,2.9335334,0.5792742,99.88888888888889,1.5233788159158494,99.88888888888889,50.55555555555556,224.4218,0.25928813,0.72636956,0.24450791,0.74028474
7000,1.4094652,0.00029220062,3.037245,0.09551936,125.11111111111111,1.3721497522460089,125.11111111111111,53.05555555555556,349.29205,0.24170646,0.6848235,0.21746665,0.7569189
8000,1.4057987,0.00029100062,0.9364623,0.6356578,119.21428571428571,1.5118895641395025,119.21428571428571,61.42857142857143,262.65375,0.25972757,0.68347067,0.21748908,0.75486034
9000,1.4078215,0.0002898006,1.9993944,1.3455938,117.0,1.4956099718110636,117.0,62.4375,207.92764,0.25790042,0.6423038,0.2055084,0.7605148
10000,1.4088418,0.00028860063,2.715077,1.3756481,125.14285714285714,1.304065725100892,125.14285714285714,67.0,219.09212,0.24808204,0.5877841,0.17661199,0.76443404
11000,1.4127607,0.00028740062,4.925491,1.1196855,132.66666666666666,1.0605420615213612,132.66666666666666,61.13333333333333,278.42725,0.2514122,0.5387064,0.15465479,0.7692565
12000,1.4178711,0.00028620064,3.2580254,0.81080425,126.5,1.2478936225719128,126.5,78.08333333333333,151.48367,0.22800969,0.48446152,0.13834801,0.79491985
13000,1.4197965,0.00028500063,4.919799,1.1594439,117.3076923076923,1.0223851703071536,117.3076923076923,73.76923076923077,106.66336,0.25302348,0.4613742,0.1279074,0.80259544
14000,1.4230303,0.00028380062,6.2700677,1.0450037,129.91666666666666,1.2810572299640626,129.91666666666666,77.75,210.26309,0.23440951,0.48135704,0.13945654,0.8078857
15000,1.4238445,0.00028260064,5.4401455,1.1277838,140.2,1.1993612669408322,140.2,96.2,185.28271,0.24476618,0.42183706,0.115345,0.8193644
16000,1.4245601,0.00028140063,5.7216063,1.0720942,106.0,0.9823732497170568,106.0,93.4,71.853226,0.2507457,0.37047273,0.095241845,0.8274541
17000,1.4270312,0.00028020065,6.175111,0.985172,111.1,1.1095096930861472,111.1,99.2,62.206482,0.24664521,0.37250993,0.09848623,0.8319607
18000,1.4286021,0.0002790006,5.675621,0.9530788,119.8,1.0417553678154945,119.8,98.5,115.228134,0.2390778,0.34603477,0.09455093,0.84278715
19000,1.4296706,0.00027780063,7.1096177,0.83242464,97.4,1.032015386223793,97.4,94.9,46.83985,0.24943033,0.36999887,0.101069584,0.845266
20000,1.4272,0.00027660062,6.845726,0.78322554,105.5,0.9804801106452942,105.5,98.2,62.992393,0.24265039,0.35055915,0.09054095,0.84830564
21000,1.4276685,0.00027540064,7.197995,0.7492223,133.1818181818182,1.0411801316182723,133.1818181818182,88.81818181818181,139.90573,0.24673502,0.35313722,0.10297152,0.8520511
22000,1.4255852,0.00027420063,11.130599,0.8021356,127.0,1.2994908372370095,127.0,72.0,133.72957,0.2409581,0.39591864,0.1275539,0.85347277
23000,1.4252832,0.00027300062,13.7330265,0.9433115,98.57142857142857,1.396286758203392,98.57142857142857,65.21428571428571,102.13521,0.25180423,0.42994446,0.13612062,0.8553448
24000,1.4236014,0.00027180064,9.382521,0.83365226,110.76923076923077,1.3093340673412268,110.76923076923077,73.23076923076923,76.43707,0.23182668,0.440506,0.13380851,0.8573001
25000,1.4220651,0.0002706006,6.822278,0.8530885,151.7,0.943790091574192,151.7,94.3,183.5585,0.24902055,0.3213337,0.089892685,0.859498
26000,1.4191171,0.00026940063,7.198598,0.88012475,115.7,1.0374797075986861,115.7,95.6,48.628906,0.2498354,0.3252683,0.100626856,0.8639988
27000,1.4156425,0.00026820065,7.3281264,0.8768245,128.8,1.0287579983472823,128.8,96.9,88.35574,0.24427247,0.31999063,0.09388289,0.8673988
28000,1.4161456,0.0002670006,7.464171,0.88213855,145.3,1.065343076735735,145.3,93.7,62.83845,0.24059364,0.31655636,0.10176219,0.87241614
29000,1.4209819,0.0002658006,7.6925383,0.86427623,136.1818181818182,0.9380764134905555,136.1818181818182,87.45454545454545,70.27433,0.24716067,0.30734918,0.09403561,0.87520736
30000,1.4250398,0.00026460065,7.894737,0.84075737,118.4,0.9809372816234827,118.4,91.4,161.72803,0.24294686,0.32767352,0.097476,0.8694554
31000,1.4252818,0.0002634006,6.8926253,0.9037766,108.9090909090909,1.0006514445624568,108.9090909090909,85.45454545454545,39.02704,0.2288166,0.3155386,0.10062444,0.8738696
32000,1.426027,0.00026220066,6.8613005,0.90232795,119.63636363636364,0.9992743754251436,119.63636363636364,85.72727272727273,35.104828,0.23841453,0.30765715,0.10421888,0.8794227
33000,1.4247134,0.00026100062,7.3913436,0.90834403,130.72727272727272,0.9399092170325193,130.72727272727272,84.54545454545455,75.28143,0.23303205,0.29510912,0.09548204,0.8810252
34000,1.4228826,0.0002598006,6.7120523,0.85961735,131.0909090909091,0.9517532488839193,131.0909090909091,87.81818181818181,93.38917,0.24853761,0.29705638,0.09138705,0.8812193
35000,1.4204929,0.00025860063,7.4159436,0.8278473,144.9090909090909,0.8828616023740985,144.9090909090909,88.0,94.06188,0.24569812,0.29452208,0.09011793,0.8801442
36000,1.4209038,0.00025740062,8.121963,0.7730878,171.4,0.8766357574611903,171.4,88.9,203.51244,0.2565854,0.27470088,0.08635187,0.884961
37000,1.4199108,0.0002562006,7.5557446,0.7221557,139.45454545454547,0.8636248938061974,139.45454545454547,88.54545454545455,48.469227,0.25784022,0.27457574,0.088476725,0.88509035
38000,1.4214829,0.00025500063,7.678972,0.7259794,132.36363636363637,0.8399801047688181,132.36363636363637,85.18181818181819,81.88076,0.26638442,0.2836205,0.08767204,0.8855153
39000,1.4202217,0.00025380062,8.212154,0.735227,135.27272727272728,0.8530485933138565,135.27272727272728,84.36363636363636,52.879276,0.24060613,0.28050864,0.090032816,0.88875896
40000,1.4175117,0.0002526006,7.381041,0.7022773,145.0,0.7576529597863555,145.0,82.66666666666667,54.20667,0.2506426,0.26113302,0.08158926,0.8895074
41000,1.4125503,0.00025140063,8.169858,0.66265106,142.36363636363637,0.7868115925653414,142.36363636363637,83.45454545454545,52.386143,0.26371735,0.26371565,0.087016545,0.8906701
42000,1.4122859,0.00025020062,8.61078,0.6499211,154.72727272727272,0.762527556243268,154.72727272727272,84.0909090909091,84.03631,0.2400529,0.26260898,0.078943826,0.89091605
43000,1.4100674,0.00024900064,9.082379,0.63958544,146.0,0.7311968000916144,146.0,83.0,70.22789,0.25717944,0.2514484,0.08112864,0.8928911
