Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Policy/Extrinsic Reward,Policy/GAIL Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.4216453,0.00029940062,1.024581,0.27520883,89.72954,0.2477952,3.9312673,0.2683596,0.77147096,182.0,7.517147903330624,182.0,387.0
2000,1.417353,0.0002982006,2.7122834,2.1581542,51.38047,0.2602631,1.0490215,0.30763727,0.7464772,132.0,15.721377491950989,132.0,329.0
3000,1.4121015,0.00029700057,4.240721,4.300196,36.859314,0.24760373,0.8303216,0.27335843,0.74525195,132.5,24.087357103824615,132.5,615.0
4000,1.4081496,0.00029580062,3.6304069,2.8077087,105.069595,0.26754034,0.7542374,0.2572478,0.73905677,209.33333333333334,11.432813862959543,209.33333333333334,328.6666666666667
5000,1.4107788,0.0002946006,5.185164,2.7889946,56.96891,0.24494967,0.6980448,0.22156018,0.7600004,231.5,13.052387230098248,231.5,501.5
6000,1.4084501,0.0002934006,5.404465,2.9157274,19.401093,0.23812862,0.65917116,0.20536079,0.76467437,101.0,15.703341767191887,101.0,590.0
7000,1.4012885,0.00029220062,3.9959843,2.5164397,46.71853,0.23762448,0.69023466,0.2302148,0.76311874,132.0,14.38620588183403,132.0,434.0
8000,1.4012445,0.00029100062,4.931602,3.0582037,72.37477,0.26467106,0.72479504,0.2604093,0.7543455,154.33333333333334,11.590762744347254,154.33333333333334,427.3333333333333
9000,1.4009062,0.0002898006,0.124443755,0.67219704,32.96424,0.23657863,0.6555369,0.2091288,0.76939684,132.0,16.237821612507105,132.0,517.5
10000,1.4022081,0.00028860063,5.6867604,2.4954364,108.846985,0.2634178,0.6750627,0.21885706,0.77118194,209.33333333333334,8.751125236352285,209.33333333333334,318.3333333333333
