Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.4189383,0.00029940062,0.1945585,-32.50000259280205,-32.50000050663948,419.0
2000,1.4189383,0.0002982006,0.15440096,-22.976668059825897,-22.976667024816077,307.0
3000,1.4189383,0.00029700057,0.14353874,-24.55000164111455,-24.550000383829076,329.0
4000,1.4189383,0.00029580062,0.17994627,-33.600002348423004,-33.600000547245145,467.5
5000,1.4189383,0.0002946006,0.11864835,-23.566668033599854,-23.566667031496763,307.0
6000,1.4189383,0.0002934006,0.1695274,-25.253334840138752,-25.2533337213099,317.6666666666667
7000,1.4189383,0.00029220062,0.09830927,-27.066668411095936,-27.06666707744201,323.0
8000,1.4189383,0.00029100062,0.2216065,-37.67500251531601,-37.67500057723373,452.0
9000,1.4189383,0.0002898006,0.12573613,-23.910001575946808,-23.910000378265977,334.3333333333333
10000,1.4189383,0.00028860063,0.20346273,-31.41500225663185,-31.415000514127314,444.5
11000,1.4189383,0.00028740062,0.15586156,-34.53500235080719,-34.535000515170395,376.5
12000,1.4189383,0.00028620064,0.17745304,-26.733334561189015,-26.733333751559258,356.0
13000,1.4189383,0.00028500063,0.15751395,-22.796667834122974,-22.796667026355863,317.6666666666667
14000,1.4189383,0.00028380062,0.28543168,-46.31000393629074,-46.310000693425536,500.5
15000,1.4189383,0.00028260064,0.2804987,-36.740002512931824,-36.74000057205558,434.5
16000,1.4189383,0.00028140063,0.12717582,-28.953334887822468,-28.953333782653015,372.3333333333333
17000,1.4189383,0.00028020065,0.08089913,-23.225001007318497,-23.22500037122518,337.0
18000,1.4189383,0.0002790006,0.2013609,-23.95500138401985,-23.955000372603536,316.25
19000,1.4189383,0.00027780063,0.16657017,-32.64500218629837,-32.64500050526112,411.0
20000,1.4189383,0.00027660062,0.12427878,-24.44333505630493,-24.443333719546597,339.3333333333333
21000,1.4189383,0.00027540064,0.15620893,-24.646667897701263,-24.646667049576838,323.3333333333333
22000,1.4189383,0.00027420063,0.12820548,-29.24500209093094,-29.245000454597175,377.5
